feature,mean_abs_shap
months_since_last_flight,2.2808359
active_months_3m,0.6061307
enrollment_tenure_months,0.4440541
marital_status_Married,0.3498813
active_months_18m,0.31683773
education_encoded,0.2986217
clv,0.25981548
flight_trend,0.2466451
pts_redeemed_3m,0.24170956
gender_Male,0.23111416
marital_status_Single,0.22695261
distance_6m,0.20998147
distance_12m,0.20851694
active_months_6m,0.19838476
flights_18m,0.19491774
salary_encoded,0.19427943
pts_redeemed_12m,0.19159414
distance_18m,0.18970145
seasons_flown,0.18184435
card_tier_encoded,0.18166833
active_months_12m,0.17159782
pts_earned_18m,0.154333
pts_redeemed_6m,0.1509293
pts_earned_12m,0.15046206
pts_redeemed_18m,0.1315442
pts_earned_6m,0.114435665
distance_3m,0.104824975
redemption_ratio,0.095318906
flights_12m,0.074903056
pts_earned_3m,0.06269081
flights_6m,0.054310124
flights_3m,0.051486343
